Geneid;ERR458493;ERR458494;;;;
YDL167C;43;39;;;;
YDL166C;43;52;;;;
YDL165W;45;26;;;;
YDL164C;44;55;;;;
YDL163W;4;4;;;;
YDL162C;0;3;;;;
YDL161W;157;153;;;;
YDL160C-A;21;20;;;;
YDL160C;122;103;;;;
YDL159W-A;0;0;;;;
YDL159W;30;24;;;;
YDL159C-B;5;0;;;;
YDL158C;10;5;;;;
YDL157C;42;35;;;;
YDL156W;9;21;;;;
YDL155W;56;60;;;;
YDL154W;14;8;;;;
YDL153C;122;99;;;;
YDL152W;7;8;;;;
YDL151C;27;26;;;;
YDL150W;46;59;;;;
YDL149W;45;37;;;;
YDL148C;54;46;;;;
YDL147W;175;173;;;;
YDL146W;70;54;;;;
YDL145C;400;388;;;;
